40
84 2637
41 52 719
57 63 15
23 47 604
4 72 678
61 83 290
8 25 320
46 47 888
44 52 698
18 69 254
15 20 105
1 44 688
49 54 113
5 64 767
50 65 931
40 62 240
20 70 850
69 78 289
17 48 902
37 54 657
1 7 360
11 14 275
12 44 857
1 64 176
78 83 373
8 77 253
37 59 855
4 83 580
6 39 757
51 79 773
21 50 261
54 59 727
33 79 492
19 31 628
32 44 683
3 44 522
65 81 918
36 57 3
18 50 762
49 63 968
54 77 610
33 39 868
44 49 656
21 79 723
7 76 987
4 71 939
76 77 315
29 33 837
30 54 228
36 76 217
37 66 846
19 53 940
49 74 844
4 43 55
3 38 116
32 54 218
30 84 309
29 50 324
57 77 150
6 60 418
48 80 97
12 31 411
67 76 497
45 60 941
59 68 40
48 79 181
3 13 815
19 56 310
62 73 184
18 47 578
31 38 279
18 76 794
32 78 798
11 20 935
34 54 869
31 80 137
36 62 227
51 75 185
40 52 326
24 28 807
16 43 754
47 73 172
38 55 748
4 75 951
56 79 228
35 59 864
18 46 169
9 46 889
64 66 540
17 35 671
47 75 307
13 68 637
6 16 435
30 45 804
21 24 930
24 58 827
47 62 985
6 76 746
56 82 137
36 47 522
14 31 676
27 51 416
5 82 316
10 40 826
30 60 704
50 54 186
32 71 963
13 47 931
22 70 723
24 71 289
37 67 90
5 60 829
33 70 813
15 77 838
30 50 780
29 49 393
21 54 55
45 76 301
8 15 282
73 80 595
12 46 973
56 71 589
14 55 585
15 68 760
41 43 746
35 39 515
45 72 587
19 21 83
7 51 261
43 63 76
63 70 605
30 56 289
25 67 493
20 25 274
51 69 115
18 66 197
38 77 812
18 33 78
49 72 480
42 65 535
1 70 719
9 44 570
67 73 716
82 83 533
74 84 761
12 14 849
15 41 926
6 45 816
52 67 150
3 47 561
45 75 411
20 83 475
5 22 502
9 24 996
7 17 235
4 16 248
4 15 864
11 63 174
9 61 684
8 44 477
17 29 251
23 54 289
19 78 767
49 70 96
2 10 915
14 43 882
26 40 293
2 62 727
6 25 313
51 53 125
19 23 614
35 48 384
12 83 695
1 78 331
17 55 269
5 46 808
39 56 180
32 56 196
2 84 624
31 74 682
7 8 109
8 66 36
72 82 510
3 51 611
58 81 384
25 43 97
4 67 860
22 54 248
34 40 272
46 49 544
25 37 78
53 80 875
9 23 185
66 78 845
14 63 971
37 78 101
33 84 79
21 31 616
7 57 180
61 63 744
13 42 741
26 36 795
53 59 129
23 49 788
29 51 478
50 78 398
8 73 597
37 60 10
9 43 946
54 63 573
6 37 692
56 66 55
2 77 609
43 76 554
17 37 667
27 41 346
33 46 652
36 82 879
22 34 946
10 77 924
41 74 775
17 80 24
52 78 799
1 75 960
49 82 221
20 53 122
50 52 413
2 49 301
56 68 738
33 59 594
1 68 45
39 72 831
47 48 389
2 79 526
21 53 619
58 84 219
43 67 925
38 46 568
61 76 229
29 59 223
50 67 142
62 68 273
31 33 279
15 54 103
35 56 828
8 71 298
7 25 801
13 74 480
14 80 177
12 70 748
11 83 756
7 60 952
14 24 124
33 73 555
39 80 264
66 68 346
38 84 29
14 41 30
51 77 999
18 64 767
3 75 624
13 21 396
41 55 598
27 31 365
61 73 923
2 3 569
8 52 584
41 60 200
6 32 490
62 67 165
1 38 423
22 29 632
71 78 438
36 60 54
38 74 87
7 15 618
2 66 352
68 77 889
28 46 450
70 71 881
43 68 989
72 75 206
38 40 185
11 41 465
33 57 113
8 70 802
7 77 163
14 74 142
4 42 832
10 79 162
8 37 909
63 69 808
31 48 911
2 73 859
41 79 173
45 79 834
13 26 429
19 70 109
53 58 386
4 48 919
1 59 626
2 65 161
20 29 903
4 23 416
3 31 216
28 43 990
73 76 35
60 64 920
26 53 231
33 36 485
44 81 154
49 64 572
56 63 692
13 53 691
10 69 38
4 8 805
26 59 493
24 52 201
51 73 948
9 41 677
50 56 716
3 8 209
44 66 485
22 79 627
2 7 69
66 81 658
22 64 813
27 72 850
9 79 119
34 35 199
1 55 121
1 45 745
28 65 360
57 58 24
21 42 162
16 50 928
22 24 366
45 51 197
27 47 849
56 77 950
66 80 34
68 76 355
18 29 522
12 27 78
46 50 46
42 76 912
2 50 884
48 66 540
55 69 466
17 62 184
35 51 569
37 64 534
57 61 745
26 80 55
23 65 161
9 56 814
70 80 713
81 82 326
40 71 16
33 62 185
17 68 877
16 84 137
15 40 930
12 24 237
53 66 513
8 51 92
9 10 518
33 77 880
37 56 641
53 73 719
30 59 182
59 72 28
4 52 74
13 65 56
36 45 106
14 26 120
22 52 969
13 77 342
18 70 12
35 55 787
2 6 526
24 38 582
18 38 321
46 82 272
31 69 637
31 73 834
9 55 438
22 66 702
7 26 512
20 60 455
15 72 887
15 56 389
12 25 944
50 74 170
5 81 626
61 67 458
30 42 614
47 71 496
3 52 338
61 81 608
49 59 215
26 74 872
7 39 636
6 74 289
13 49 928
19 69 742
54 84 762
26 35 897
45 77 85
26 78 774
37 68 36
12 69 963
12 42 708
37 82 357
35 82 587
16 56 697
14 73 543
63 64 378
17 43 752
4 69 55
13 41 185
18 31 991
38 79 444
68 72 129
13 81 161
62 80 423
25 56 587
55 81 776
25 60 919
50 82 277
2 26 384
44 50 135
26 58 149
20 41 20
15 60 776
35 72 78
23 79 114
8 19 538
5 20 327
61 70 199
19 34 665
50 55 716
6 75 515
15 49 373
11 52 425
24 50 102
16 32 423
11 77 969
16 62 480
4 80 175
14 50 376
8 63 665
21 58 166
39 45 173
6 83 147
71 80 328
4 38 596
19 41 734
16 67 456
49 84 867
24 76 12
17 50 192
13 48 354
5 16 513
4 40 564
33 50 131
19 61 943
35 64 678
25 32 21
34 57 271
52 84 230
33 38 686
2 31 987
49 56 745
24 27 412
14 48 412
7 19 199
65 74 835
45 58 733
72 79 32
1 51 10
24 44 110
44 58 49
14 84 176
64 78 635
53 60 196
35 79 856
10 11 231
2 43 931
56 70 664
25 33 450
51 64 295
17 32 856
7 56 805
48 52 160
55 56 420
58 67 288
28 63 104
15 39 99
48 65 309
10 83 727
46 74 681
41 65 348
42 55 714
29 30 426
55 61 760
39 64 478
25 61 977
7 29 595
63 66 564
22 28 9
4 34 605
5 29 26
53 67 59
24 26 133
22 74 661
16 29 255
37 62 342
38 53 244
46 70 538
7 30 6
35 68 694
20 79 185
10 42 863
43 44 851
27 30 346
16 30 283
57 84 491
8 30 450
56 64 734
19 20 153
3 77 177
58 82 415
33 47 501
6 77 243
14 65 193
66 71 261
36 84 73
6 40 171
52 82 856
35 38 989
8 18 532
41 69 813
33 78 15
14 44 943
27 83 946
56 65 676
68 70 551
4 9 640
25 27 272
1 52 89
52 73 647
55 67 967
58 79 627
23 81 510
34 71 170
33 61 973
31 35 145
23 58 662
11 68 775
78 79 880
39 81 815
60 65 304
9 49 647
36 74 316
49 66 899
49 76 193
69 73 577
63 78 972
34 37 716
43 46 785
16 34 962
54 62 248
38 58 598
53 76 329
38 67 192
29 36 896
10 53 358
4 14 743
55 80 889
9 38 630
16 55 184
46 63 536
14 49 597
20 21 811
49 51 46
24 82 768
27 82 136
10 20 191
32 62 782
24 32 263
23 42 423
10 15 597
25 51 567
63 65 423
18 80 265
20 37 818
21 29 616
54 71 194
30 57 791
21 30 332
35 52 979
2 54 105
30 35 932
26 76 929
25 49 434
46 71 476
49 83 177
28 31 144
38 41 219
64 81 66
19 42 775
19 71 756
4 30 602
50 79 372
22 50 919
38 51 0
40 64 492
54 61 408
16 41 544
71 82 626
62 74 671
35 84 319
13 61 575
19 47 591
44 62 742
38 57 840
62 79 409
33 48 710
49 62 34
12 50 552
43 50 394
64 71 365
34 55 9
61 68 327
11 57 646
27 73 796
32 74 803
31 44 824
29 69 940
22 82 375
1 35 242
30 66 715
42 51 483
5 9 197
1 16 440
72 73 402
26 51 197
16 64 284
50 76 162
11 74 93
39 41 911
11 30 834
34 58 413
7 9 486
39 52 777
1 29 507
12 23 679
44 69 538
60 73 218
60 72 713
5 6 91
1 61 612
18 59 431
28 75 452
56 60 291
9 20 77
39 60 248
18 51 95
41 63 253
4 21 189
17 77 822
35 70 496
38 65 256
1 84 305
36 51 693
53 77 696
40 82 59
5 11 242
29 42 981
31 62 222
35 61 688
9 22 244
14 19 408
34 79 101
4 25 82
15 18 537
23 50 960
13 73 761
5 84 75
11 35 178
41 49 827
25 78 518
30 44 143
34 36 258
66 70 971
25 58 434
22 56 687
74 83 571
57 82 881
48 50 941
3 21 112
16 31 55
53 70 789
9 28 369
26 61 712
47 72 834
56 80 417
33 71 772
10 51 76
22 72 750
32 83 346
52 59 764
2 59 994
40 41 106
19 30 217
34 46 77
37 50 643
13 40 178
20 57 838
38 60 70
27 61 708
32 59 17
24 60 941
21 32 851
33 66 275
18 77 264
24 77 638
17 31 963
43 51 835
59 61 871
10 81 256
38 45 300
17 54 927
77 80 45
13 18 669
52 79 991
3 14 879
47 78 86
25 64 763
40 67 955
14 62 837
38 56 461
2 53 72
43 45 183
38 83 919
46 59 641
39 55 612
14 83 914
19 84 171
28 47 803
47 52 985
45 71 880
35 75 820
2 78 278
47 66 83
4 82 96
1 21 542
53 78 73
1 81 411
9 47 729
47 49 945
22 63 667
19 37 29
22 48 224
9 64 712
13 17 50
9 40 215
5 26 591
15 57 137
61 80 331
22 55 898
10 36 326
59 64 144
54 80 322
6 34 861
61 62 64
13 36 316
42 61 474
13 76 978
3 56 487
17 51 277
26 52 963
31 64 367
21 69 97
11 81 593
20 27 803
11 19 545
32 37 135
12 28 876
11 42 956
47 50 217
7 11 173
24 67 975
51 56 246
73 78 397
25 70 687
40 84 297
9 84 965
40 42 630
12 81 786
14 29 296
41 61 881
4 31 464
60 71 440
41 59 555
47 60 325
20 77 504
25 45 871
6 46 799
7 45 483
30 48 359
24 48 76
5 66 798
56 74 78
6 10 174
35 46 392
5 80 233
27 52 719
46 61 879
8 17 110
8 65 28
20 23 96
48 60 635
31 36 3
65 79 343
16 52 33
11 67 43
17 84 992
15 73 998
3 34 25
32 47 130
1 83 646
7 49 258
8 84 594
4 36 438
21 43 814
68 73 919
6 26 943
54 65 37
12 77 71
38 78 778
30 73 396
25 36 147
31 84 928
39 75 827
41 48 673
9 81 672
68 78 60
18 53 745
20 52 552
20 54 522
80 84 773
2 42 648
16 53 158
24 72 128
66 83 343
40 55 543
47 53 523
5 55 687
5 44 893
26 55 901
42 66 817
33 69 539
6 68 159
10 66 411
21 26 977
1 69 325
2 48 683
23 62 272
61 74 363
6 72 754
60 79 402
34 80 759
8 55 901
7 43 331
31 72 938
37 45 927
60 77 3
21 46 351
10 76 672
16 60 555
9 31 873
8 35 797
36 53 556
52 62 383
3 16 925
44 68 251
25 42 926
45 50 801
6 14 939
24 62 171
38 44 702
6 82 756
46 51 62
12 57 213
45 62 520
34 72 392
45 52 539
35 57 555
24 31 664
63 82 902
4 68 309
81 84 67
38 49 13
17 28 562
3 22 750
27 39 304
2 52 489
19 43 753
71 74 655
48 74 513
28 40 661
17 83 880
63 71 310
1 76 217
38 63 264
13 82 588
9 53 468
38 71 542
7 81 389
33 35 759
3 82 714
17 46 443
43 84 868
55 68 128
9 36 8
69 71 740
45 83 520
1 27 547
1 19 295
9 48 185
55 83 801
1 73 604
48 78 604
1 40 815
35 47 518
12 53 354
1 43 119
4 73 8
20 24 107
44 59 126
22 23 521
76 80 768
30 76 6
29 39 184
7 47 337
16 61 622
69 75 772
8 12 158
34 63 165
65 83 513
4 65 269
1 82 231
22 75 308
9 51 137
51 76 359
20 40 316
47 68 877
63 83 880
63 72 216
21 70 172
34 39 417
58 77 17
3 64 128
23 84 21
40 68 832
5 56 647
1 22 727
31 50 303
11 44 7
51 71 186
49 58 429
54 72 880
67 78 955
35 71 788
8 36 64
45 66 644
43 58 410
15 78 188
1 42 154
61 72 927
44 48 53
14 52 424
19 83 158
4 46 713
8 31 561
40 45 870
56 58 30
37 49 791
3 54 750
22 41 246
83 84 315
69 77 519
36 68 615
53 71 444
7 12 892
6 21 448
4 22 443
51 66 619
36 66 103
51 65 802
9 33 805
20 49 885
46 72 682
29 46 112
31 54 673
49 67 99
47 63 109
9 39 435
44 83 639
19 52 263
4 12 363
55 70 45
45 48 687
51 58 521
30 68 758
6 24 601
45 67 743
59 79 140
19 33 392
23 37 845
10 17 738
36 38 707
21 45 364
34 49 354
43 55 503
15 55 256
60 66 154
34 83 298
22 80 227
2 8 609
31 65 100
30 38 385
33 45 494
25 48 135
45 59 497
8 72 519
58 66 586
57 62 958
35 58 955
21 63 225
28 61 222
15 38 318
20 59 622
67 70 909
31 76 191
54 70 733
44 73 510
22 45 935
71 83 873
3 57 254
16 35 780
1 33 964
54 76 314
54 60 497
43 59 318
14 51 817
17 57 105
31 71 824
56 72 468
22 35 333
31 39 433
47 79 568
22 76 718
21 52 928
27 40 55
26 46 567
22 39 799
76 84 641
21 75 526
50 73 754
26 66 219
24 43 748
24 61 424
10 59 841
28 34 9
18 83 968
28 29 574
26 72 872
31 66 903
46 64 800
61 64 478
5 35 35
17 72 764
22 61 792
3 40 532
55 62 434
47 67 962
18 84 638
4 56 258
16 69 430
4 18 323
10 75 691
9 63 350
70 84 41
19 75 971
23 41 406
37 75 960
70 77 771
35 73 47
67 81 486
5 48 525
32 46 618
21 73 586
22 31 302
45 84 812
17 52 948
25 47 270
49 61 738
7 80 172
61 71 525
28 38 538
40 53 650
28 44 560
39 82 654
41 57 443
12 52 445
13 22 88
28 59 405
35 44 435
28 73 698
4 6 835
34 42 110
14 32 390
34 82 185
14 79 151
7 83 713
21 27 591
5 74 463
27 46 484
28 68 991
15 84 950
18 45 362
1 72 609
27 37 888
1 79 664
63 77 773
44 46 836
5 58 286
32 81 512
4 78 8
59 82 811
76 81 50
7 66 11
10 57 723
30 37 57
43 47 454
42 68 520
9 54 497
15 22 859
10 71 307
16 42 196
2 39 46
27 79 417
28 77 938
15 31 231
31 58 920
12 51 651
47 82 175
26 50 384
44 64 488
1 34 518
6 20 686
8 21 850
7 35 479
11 70 574
31 82 866
27 64 253
78 81 763
40 54 152
47 51 765
11 13 123
34 41 963
54 78 167
32 48 134
14 40 38
12 66 224
16 40 940
4 33 559
5 79 722
28 72 799
24 84 866
16 83 270
54 69 197
7 82 284
74 78 208
14 38 429
18 61 204
1 24 859
27 80 956
57 73 940
27 58 699
31 57 474
28 51 626
10 39 549
57 68 953
61 79 553
46 78 415
46 58 558
4 11 668
32 82 919
40 69 323
4 70 143
37 47 882
18 75 843
21 60 278
28 53 273
20 81 67
27 62 570
41 51 832
44 80 141
49 77 722
62 66 50
11 48 411
36 69 919
42 44 686
72 80 619
2 82 348
6 42 243
38 70 831
4 54 656
51 67 183
60 70 530
14 68 130
59 74 162
17 38 432
41 70 436
19 26 715
12 65 199
8 54 346
35 40 735
50 80 119
64 67 670
34 62 878
72 81 353
9 25 865
66 77 508
11 24 626
41 82 932
64 75 79
29 75 810
27 34 426
30 70 801
9 32 861
33 64 837
12 20 720
20 62 899
2 35 809
6 13 421
4 74 142
33 54 640
51 63 77
12 68 678
22 84 522
5 72 560
11 46 192
34 76 306
5 12 348
16 49 259
45 68 506
50 64 694
58 80 994
11 27 625
2 46 716
2 32 872
27 71 978
20 66 581
24 37 733
11 62 605
9 60 866
8 14 812
29 71 415
20 74 292
59 76 965
31 37 628
43 52 129
4 35 37
18 79 880
28 36 290
19 81 458
5 50 374
41 84 282
29 82 888
11 66 52
29 60 805
75 78 800
8 13 244
51 62 111
52 56 500
31 67 503
74 80 617
12 48 546
26 34 849
22 73 594
45 64 263
2 40 722
1 58 573
7 33 196
29 65 807
15 51 530
44 57 62
19 73 971
71 84 945
17 49 706
33 65 936
7 24 926
70 83 188
30 75 325
48 64 158
17 63 478
19 54 136
22 49 532
69 74 761
34 44 24
56 84 585
77 79 918
21 41 176
38 39 181
33 42 29
16 44 676
1 12 37
34 53 999
4 27 222
62 69 886
39 43 593
27 81 837
56 62 960
13 46 518
11 21 386
50 77 767
41 47 48
10 46 800
52 53 90
1 57 346
14 58 507
57 67 378
39 70 272
1 46 695
6 73 704
56 73 782
10 41 525
62 78 840
2 28 314
31 79 286
9 50 216
60 82 251
32 64 556
26 27 392
47 57 433
80 82 938
16 47 420
33 49 822
1 65 937
2 34 994
6 35 708
10 56 882
52 55 832
5 62 21
43 75 401
41 53 570
12 62 140
1 67 801
40 58 370
18 72 231
34 59 147
72 74 877
28 60 609
21 47 771
68 84 924
45 46 313
27 55 553
25 73 802
39 71 153
7 61 868
4 20 440
3 61 369
2 57 119
9 42 997
13 80 113
21 64 904
14 28 935
29 77 533
73 84 726
8 9 224
16 75 528
5 45 787
24 42 458
25 40 712
15 23 808
57 72 211
64 73 282
44 65 948
23 63 13
7 21 4
58 73 531
3 30 512
8 47 882
48 56 141
23 31 284
20 65 158
10 45 806
2 51 837
10 70 312
4 63 960
40 77 57
29 41 753
22 59 681
19 40 177
74 76 102
7 23 795
55 74 433
6 65 389
20 43 680
5 75 160
36 56 965
34 70 208
19 29 299
3 9 423
37 43 272
56 69 107
40 79 987
17 23 906
11 47 407
48 81 352
26 30 911
6 63 939
48 76 864
42 69 145
29 73 432
67 74 148
20 45 303
60 80 238
14 60 338
37 39 968
15 80 550
8 83 395
19 44 73
20 26 584
36 46 924
52 71 175
4 66 731
14 57 358
38 42 916
61 66 411
15 30 870
57 69 881
2 72 972
38 64 169
4 29 656
30 64 244
27 57 628
41 46 643
2 29 151
3 25 387
6 54 995
67 80 62
62 71 678
5 52 212
13 39 207
26 45 110
19 74 360
46 48 862
17 82 701
21 66 50
50 81 182
40 73 603
5 21 446
5 40 255
13 56 187
23 38 722
1 56 782
25 54 270
63 74 80
40 75 698
7 69 682
13 67 302
6 79 579
6 22 6
4 77 471
39 50 236
47 76 250
30 34 451
2 71 231
39 40 753
51 59 839
18 60 579
4 49 167
13 44 517
5 15 791
42 84 726
42 45 980
17 78 503
12 33 941
1 6 681
29 47 554
20 42 123
80 83 284
14 59 352
10 35 379
22 62 824
52 72 74
32 34 513
41 64 94
9 35 507
5 30 212
16 81 128
24 29 809
24 35 143
28 76 134
75 83 633
15 16 731
8 81 737
31 68 436
27 36 963
25 31 842
41 72 275
9 78 894
19 68 10
13 43 793
26 38 685
25 28 736
19 59 125
18 68 540
30 33 29
26 79 806
2 23 94
36 59 153
11 34 442
25 68 446
27 42 884
12 36 618
1 32 873
6 12 397
44 47 65
23 66 380
74 75 609
5 76 193
79 82 541
25 30 105
4 37 680
5 73 526
15 81 836
5 53 417
23 46 963
40 60 151
23 53 611
29 40 238
12 82 45
37 58 621
10 54 383
73 81 82
12 72 710
26 43 508
21 55 623
14 27 739
38 82 666
20 72 69
58 63 244
16 65 109
66 73 868
14 22 128
36 73 79
7 10 741
35 43 878
20 64 144
28 82 473
22 60 487
62 84 690
42 50 14
30 83 944
18 24 722
24 73 541
23 72 781
28 66 491
51 84 504
24 81 932
47 74 102
6 33 94
10 82 330
16 77 724
73 75 830
26 82 412
25 41 786
34 81 338
38 62 35
35 50 877
12 54 5
12 41 105
23 45 122
37 51 466
6 23 973
32 51 602
16 46 897
8 33 66
26 84 480
39 53 42
29 44 539
46 56 320
13 35 84
37 46 553
29 83 264
2 80 806
32 73 446
13 32 45
2 16 297
10 26 302
19 64 330
25 81 399
25 69 397
21 25 660
21 67 475
19 49 227
26 62 72
18 27 613
11 17 917
52 77 460
21 23 491
23 26 922
60 75 917
43 70 613
37 73 740
41 73 890
59 81 567
49 53 990
66 67 956
15 21 48
24 41 384
28 30 847
28 71 368
34 45 468
9 83 400
10 19 632
8 20 626
18 39 199
16 28 30
59 77 923
50 69 501
7 63 360
64 80 674
30 62 898
3 83 372
12 47 502
3 20 477
30 47 444
3 79 115
7 40 395
7 37 256
39 54 606
29 72 669
10 63 173
48 82 571
13 23 762
40 63 415
47 58 139
43 66 752
26 37 723
26 68 187
34 50 136
13 59 570
10 29 907
1 63 604
23 56 323
6 47 539
15 62 230
2 55 522
20 78 921
25 84 505
9 52 23
33 67 281
46 52 531
7 20 274
77 83 653
28 42 33
17 79 751
57 60 450
16 39 149
11 82 146
50 61 706
22 51 755
17 25 816
9 66 880
59 63 679
5 34 578
36 75 295
16 80 170
26 60 330
8 59 19
43 69 357
31 32 466
13 15 941
1 26 616
27 48 422
42 46 264
15 36 155
13 24 4
34 64 786
14 81 77
15 50 861
35 80 810
32 61 710
40 65 392
27 28 84
2 21 716
10 73 426
21 77 187
1 71 166
32 38 575
66 76 334
26 64 224
3 32 682
22 77 502
31 59 456
7 27 361
3 50 80
31 61 104
71 77 531
29 66 762
47 61 475
1 80 240
43 53 580
39 49 416
6 84 856
31 75 354
76 78 681
47 84 364
24 51 358
20 46 819
4 58 793
25 46 219
34 84 981
71 79 855
46 55 963
46 68 65
35 53 571
26 29 389
11 40 253
27 77 89
8 32 316
19 39 939
48 62 314
35 78 999
15 26 441
45 74 122
36 65 712
6 56 873
28 69 226
37 81 596
34 61 635
2 33 53
15 19 188
14 36 215
24 39 470
14 37 397
23 27 921
56 67 503
16 76 113
40 61 279
36 44 322
15 82 906
2 67 850
23 39 304
57 70 113
4 53 813
35 83 721
11 22 685
7 22 555
3 71 326
33 58 126
42 73 871
7 36 265
44 71 440
4 17 870
17 74 58
30 32 915
24 65 935
20 82 931
4 51 493
20 39 883
21 28 566
65 78 547
5 10 71
14 61 133
4 84 17
17 71 820
4 59 54
39 66 872
14 34 933
11 79 685
55 64 546
52 58 191
64 77 535
15 42 850
9 74 305
4 39 701
45 78 924
31 43 990
56 78 256
46 53 250
14 76 116
38 73 479
52 65 868
35 49 909
14 56 702
3 69 926
4 13 176
4 10 637
43 80 210
49 80 669
25 38 520
11 16 776
43 64 216
58 65 943
26 69 262
30 78 585
15 74 764
32 36 316
3 76 809
10 44 697
43 56 2
22 81 356
70 72 241
27 54 889
16 71 558
18 41 546
61 78 942
52 75 482
2 37 888
51 80 550
43 49 85
65 71 356
47 80 30
23 60 953
1 25 617
3 11 732
37 65 231
32 35 793
17 73 721
32 53 441
74 79 815
13 75 593
2 45 570
27 35 31
25 75 888
64 70 832
49 52 969
66 75 652
64 69 500
27 68 778
16 78 702
5 32 854
43 73 134
2 22 943
7 75 96
29 68 693
13 30 841
4 7 38
35 69 527
29 62 81
28 48 941
